Fri. Sep. 28, 2012             LANDSAT 7                 Time: 08:22
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L4864603            Path/Row: 014 / 032

L0R Reference Image: L72EDC1999186150200_HDF.122720336
Acquisition Date: Jul 05, 1999

Band Number:  5

GeoCover date for each WRS-2 path/row used:
Path  Row   Date
014   032   1999-09-23


Point_ID      Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                   Scan      Scan      In y      in x
                                                 Residual  Residual    dir       dir
                (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

0140320077   40.042458  -75.355071    79.994       0.327    -2.786     0.839    -2.674
0140320078   40.647365  -74.003179    17.815       2.982    -1.149     3.142    -0.574
0140320080   39.698992  -75.856837    71.774      -0.379    -1.566    -0.081    -1.608
0140320081   40.156785  -76.001704   144.577      -2.208     2.472    -2.628     2.017
0140320082   39.981445  -74.784500   -17.666       3.666     1.057     3.403     1.720
0140320083   40.135578  -74.189587   -12.000      -3.569     2.248    -3.921     1.543
0140320084   39.960343  -75.699571   106.569      -0.557     1.404    -0.808     1.275
0140320085   40.578708  -74.252320   -21.684       3.966    -1.796     4.228    -1.027
0140320086   40.312531  -75.487469    80.078      -3.182     6.233    -4.282     5.529
0140320087   40.004607  -75.503549   109.849      -3.649     0.746    -3.721     0.055
0140320089   40.670550  -75.265739    79.887       2.352    -1.590     2.604    -1.126
0140320090   40.639498  -73.881963   -30.612       3.971     0.638     3.782     1.365
0140320091   40.381208  -75.480896    71.216       2.556     2.855     1.979     3.277
0140320092   41.113810  -75.555881   487.482       2.371    -5.406     3.327    -4.868
0140320093   40.322671  -75.132656    75.205       0.580    -0.011     0.571     0.097
0140320094   40.832035  -73.866282   -22.096       1.460    -0.473     1.522    -0.194
0140320095   40.717101  -73.805011     1.958       3.418    -0.330     3.419     0.311
0140320096   40.254028  -75.279625    70.075       2.264     1.361     1.970     1.756
0140320097   40.773997  -74.158062   -24.319       1.315    -2.661     1.784    -2.369
0140320099   40.474566  -74.717103   133.476      -6.059     3.007    -6.506     1.827
0140320100   40.063315  -74.345224    -3.424      -1.014     3.326    -1.613     3.077
0140320101   40.212760  -74.758033   -21.440       3.313     2.020     2.878     2.600
0140320102   40.428235  -74.518888     1.000      -2.612     0.914    -2.734     0.412
0140320104   40.791652  -74.952587   127.661      -2.201     3.289    -2.771     2.822
0140320105   40.254409  -74.299644    18.888       1.758     1.903     1.373     2.196
0140320106   40.704794  -74.193381   -29.595       2.287    -1.100     2.451    -0.656
0140320107   40.479406  -74.321379   -24.555       0.596     3.672    -0.096     3.717
0140320108   40.735811  -75.691287   173.733      -5.146     5.076    -5.994     4.030
0140320109   40.817986  -73.839486   -29.568       0.449     0.384     0.370     0.461
0140320110   40.900594  -74.572825   165.435       1.102    -4.246     1.868    -3.964
0140320111   39.952023  -75.592018    88.933       2.716    -1.251     2.899    -0.724
0140320112   40.528496  -75.214881   150.581      -2.011     3.958    -2.709     3.512
0140320113   40.725801  -73.733809    -6.983       0.684     2.496     0.210     2.578
0140320114   40.280053  -74.032592   -16.000      -4.078     0.352    -4.069    -0.413
0140320115   40.269180  -74.890854    37.984      -3.530     3.812    -4.174     3.087
0140320116   39.760487  -75.110907   -16.325      -2.058    -0.657    -1.898    -1.028
0140320117   40.327078  -74.134683    -9.000      -2.889     2.168    -3.239     1.592
0140320118   40.347979  -74.799234    29.081       1.042     2.751     0.513     2.895
0140320119   40.286497  -75.264935    68.530      -1.115     3.247    -1.699     2.981
0140320120   40.412426  -75.110909   123.086      -2.533     1.460    -2.758     0.964
0140320121   40.057739  -75.809959   162.289      -2.015     0.880    -2.143     0.489
0140320122   39.775908  -75.568087    48.602       1.252    -3.128     1.812    -2.838
0140320123   40.842337  -73.667184   -26.425      -2.606     6.428    -3.748     5.829
0140320124   40.260965  -74.044859   -15.000      -0.373     1.325    -0.611     1.232
0140320125   40.090599  -74.761985   -19.718      -5.029     3.649    -5.616     2.647
0140320126   40.782797  -74.039200   -29.000       4.432    -0.613     4.466     0.221
0140320127   40.842410  -73.934073    29.268       1.838    -6.176     2.950    -5.723
0140320128   41.019962  -74.551360   261.667      -0.517     0.137    -0.533     0.039
0140320129   39.928058  -74.123579   -31.000       1.888    -1.713     2.173    -1.330
0140320131   40.207776  -74.019167   -27.000       0.540    -0.431     0.611    -0.322
0140320133   40.139070  -74.810416   -32.000       6.299     4.087     5.426     5.184
0140320134   40.384341  -75.082235   121.076      -3.753     3.175    -4.274     2.420
0140320135   40.858007  -74.604423   243.915      -1.433    -0.798    -1.259    -1.048
0140320136   41.142711  -75.030982   319.000      -0.097    -2.022     0.279    -2.002
0140320137   40.194471  -76.049486   119.148      -1.376     3.939    -2.084     3.612
0140320138   40.676477  -74.284596    -0.594       1.323    -3.353     1.921    -3.047
0140320139   40.089761  -74.988621    -2.654       3.787    -0.265     3.767     0.444
0140320140   40.218996  -74.102918    -5.409      -3.654    -0.100    -3.569    -0.778
0140320141   39.930005  -75.056409   -28.000       5.163    -0.141     5.096     0.822
0140320142   40.223492  -74.722734   -19.000      -1.107     2.036    -1.465     1.794
0140320143   40.328658  -75.939968    33.652       4.014    -1.220     4.167    -0.453
0140320144   40.224945  -74.138805     3.529      -1.001     1.875    -1.331     1.655
0140320145   40.639411  -74.236033   -26.267       1.221    -2.745     1.708    -2.469
0140320146   40.353276  -75.937130    61.609       1.937    -1.504     2.181    -1.118
0140320147   39.849263  -75.697741    77.010       1.508    -1.187     1.700    -0.885
0140320148   40.989163  -73.964881   -13.162      -0.830    -0.448    -0.731    -0.593
0140320149   40.035091  -75.801955   141.802      -4.720     2.492    -5.098     1.569
0140320150   40.151009  -74.155238   -19.789      -2.562     1.482    -2.790     0.979
0140320151   40.694316  -73.905547   -11.117       0.172     3.065    -0.399     3.042
0140320152   39.752212  -75.225056    -5.000       0.483    -1.145     0.687    -1.035
0140320153   39.946933  -75.983185   107.179      -1.766    -3.221    -1.135    -3.490
0140320154   40.061203  -74.145443   -28.296       0.128    -1.039     0.319    -0.996
0140320156   40.545954  -74.556664   -14.713       2.928    -0.763     3.017    -0.206
0140320158   40.054038  -74.897177   -24.000       3.755     0.656     3.565     1.343
0140320159   40.130289  -74.562193     8.223      -6.576     5.059    -7.396     3.744
0140320160   40.863265  -73.999593   -30.000      -2.024    -2.073    -1.603    -2.411
0140320161   40.751314  -74.373350    23.838       0.605    -2.061     0.976    -1.911
0140320162   40.038203  -75.217202    58.313       3.829    -0.225     3.801     0.491
0140320163   40.245369  -75.378350    34.762      -4.304     1.459    -4.497     0.634
0140320164   40.756094  -73.687744     6.704       0.599    -0.126     0.613    -0.012
0140320166   40.180768  -75.454458    11.792      -0.992    -0.428    -0.895    -0.604
0140320167   40.047982  -74.685815   -13.844      -4.882     5.213    -5.763     4.210
0140320168   40.725186  -75.556897   100.790       4.333    -2.398     4.698    -1.552
0140320169   40.482150  -74.627521    -6.990      -0.983     2.494    -1.428     2.266
0140320170   40.510584  -74.969075   128.033      -2.942    -0.302    -2.832    -0.842
